index,artist,title,lyrics sentiment,mood,lyrics,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
ML1,George Michael,I Want Your Sex,pos,happy,"In the past there were arguments for and against casual sex. Then it became a question of morality. These days it can be a question of life or death. It's as simple as that. And this song is not about casual sex\n\nThere’s things that you guess\nAnd a'things a'that you know\nThere’s boys you can trust\nAnd a'girls that you don’t\nThere’s little things you hide\nAnd little things that you show\nSometimes you think you’re gonna get it\nBut you don’t and that’s just the way it goes\n\nI swear I won’t tease you\nWon’t tell you no lies\nDon’t need no Bible\nJust look in my eyes\nI’ve a'waited so long baby\nNow that we’re friends\nEvery man’s got his patience\nAnd here’s where mine ends\n\nI want your sex\nI want your love\nI want your sex\nI want your...sex\nIt’s playin' on my mind\nIt’s dancin' on my soul\nIt’s taken so much time\nSo why don’t you just let me go\nI’d really like to try\nOh, I’d really love to know\nWhen you tell me you’re gonna regret it\nThen I tell you that I love you but you still say no\n\nI swear I won’t tease you\nWon’t tell you no lies\nDon’t need no Bible\nJust look in my eyes\nI’ve waited so long baby\nOut in the cold\nI can’t take much more girl\nI’m losing control\n\nI want your sex\nI want your love\nI want your sex\nI want your…sex (sex! ow!)\nIt’s natural, it’s chemical (let’s do it)\nIt’s logical habitual (can we do it?)\nIt’s sensual but most of all\nSex is something that we should do\nSex is something for me and you\nSex is natural, sex is good\nNot everybody does it\nBut everybody should\nSex is natural, sex is fun\nSex is best when it’s one on one\nOne on one\nHoo ah (sex) I’m not your father\nHoo ah (sex) I’m not your brother\nHoo ah (sex) talk to your sister\nHoo ah (sex) I am a lover\nHoo ah (sex)\nHoo ah (sex)\nHoo ah (sex)\nC-c-c-c-c-c-come on\nWhat’s your definition of dirty baby?\nWhat do you consider pornography?\nDon’t you know I love it till it hurts me baby?\nDon’t you think it’s time you had sex with me?\nWhat’s your definition of dirty baby?\nWhat do you call pornography?\nDon’t you know I love it till it hurts me baby?\nDon’t you think it’s time you had sex with me?\nOw! Sex with me\nOw! Sex with me\nMmmm have sex with me\nC-c-c-c-c-c-come on\n*************************\nOh so much love, that you’ve never seen\nLet’s make love, put your trust in me (hmm)\nDon’t you listen to what they told you\nBecause I love you, let me hold you\nOh, I’m not your brother\nI’m not your father\nOh will you ever change your mind?\nI’m a gentle lover with a heart of gold\nBut baby you've been so unkind...oh\nCome on\nI want your sex\nCome on, I want your sex\nThat’s right, all night\nOh, I want your sex\nI want your…sex\nSexy baby’s (Sexy baby’s)\nSexy body (Sexy body)\nKeeps me guessing (Keeps me guessing)\nWith a promise (Oh)\nI know we can come together\nBut the question is Will we ever ever?\nSexy baby’s (Sexy baby’s)\nSexy body (Sexy body)\nKeeps me guessing (Keeps me guessing)\nWith a promise (Oh)\nI know we can come together\nBut the question is Will we ever ever?\nOhhh together\nYou and me\nI want your love",6QnFHieoch6U9J8zfv6hml,0.812,0.6,10,-13.418,0,0.0538,0.00509,0.0248,0.0465,0.8,99.189
ML2,Rob Zombie,Pussy Liquor,neg,angry,"Baby :\nGimme a B\nGimme a A\nGimme a B\nGimme a Y\nWhat's that spell?\nWhat's that spell?\nWhat's that spell?\nCheerleader: Baby\nEarl had a baby\nBaby was her name\nHe knew she was crazy\nTiny was the same\nDown behind the shed\nSlaughtering the hog\nSlice it on the belly\nFeed it to the dog\nOne, two, three, who should I kill?\nEvery motherfucker running up the hill\nOne, two, three, what should I do?\nGet fucked up and fuck up you\nPussy liquor\nMake ya sicker\nPussy liquor\nDo it quicker\nBaby: Yeah, I like to get fucked up, fucked up\nGoober: Yeah, I like to get fucked up too\nBaby: Yeah, I bet you do\nBaby: Yeah, I like to get fucked up, fucked up\nGoober: Yeah, I like to get fucked up too\nBaby: Yeah, I bet you do\nEarl had a baby\nOtis was his name\nWhite as a ghost, totally insane\nOtis loves the girls\nYoung and clean\nDrowning in a bucket of gasoline\nOne, two, three, who should I kill?\nEvery motherfucker running up the hill\nOne, two, three, what should I do?\nGet fucked up and fuck up you\nPussy liquor\nMake ya sicker\nPussy liquor\nDo it quicker\nBaby: Yeah, I like to get fucked up, fucked up\nGoober: Yeah, I like to get fucked up too\nBaby: Yeah, I bet you do\nBaby: Yeah, I like to get fucked up, fucked up\nGoober: Yeah, I like to get fucked up too\nBaby: Yeah, I bet you do\nDon't you know something\nThey won't tell\nTime on my mind\nSend them to a hell\nBurnin' in the house\nSpirits are alive\nA tongue lashing mama\nHelp 'em to survive\nOne, two, three, who should I kill?\nEvery motherfucker running up the hill\nOne, two, three, what should I do?\nGet fucked up and fuck up you\nPussy liquor\nMake ya sicker\nPussy liquor\nDo it quicker\nBaby: Yeah, I like to get fucked up, fucked up\nGoober: Yeah, I like to get a blow job too\nBaby: Yeah, I bet you do",03VzAAMs5PrLM42XR7ijuc,0.54,0.9229999999999999,10,-3.965,1,0.0324,0.00034700000000000003,0.00614,0.484,0.531,112.936
ML3,Katatonia,12,neg,sad,Black theatre of love\nViolet dancers cast their blood\nThe moon gave me flowers\nFor funerals to come\n\n12 shapes bow before her\nI am still one of them\n12 morbid ways to die\nHer beauty scares me\n\nI'm falling deeper\nNo more pain to feel now\nTouch the silence\nAfraid of hell\n\nBlack theatre of love\nViolet dancers drink my blood\nThe moon gave me flowers\nFor funerals to come\n\nI cannot breathe\nI am losing life\nThe moon paints the skyline blue\nShe died so beautiful,4GCOPgFknQSHVXuAAdQYjk,0.134,0.674,6,-8.427999999999999,1,0.0478,0.00045999999999999996,0.703,0.204,0.162,69.289
ML4,Bing Crosby,Swinging On A Star,pos,happy,"Would you like to swing on a star\nCarry moonbeams home in a jar\nAnd be better off than you are\nOr would you rather be a mule?\nA mule is an animal with long funny ears\nHe kicks up at anything he hears\nHis back is brawny but his brain is weak\nHe's just plain stupid with a stubborn streak\nAnd by the way, if you hate to go to school\nYou may grow up to be a mule\nOr would you like to swing on a star\nCarry moonbeams home in a jar\nAnd be better off than you are\nOr would you rather be a pig?\nA pig is an animal with dirt on his face\nHis shoes are a terrible disgrace\nHe's got no manners when he eats his food\nHe's fat and lazy and extremely rude\nBut if you don't care a feather or a fig\nYou may grow up to be a pig\nOr would you like to swing on a star\nCarry moonbeams home in a jar\nAnd be better off than you are\nOr would you rather be a fish?\nA fish won't do anything, but swim in a brook\nHe can't write his name or read a book\nTo fool the people is his only thought\nAnd though he's slippery, he still gets caught\nBut then if that sort of life is what you wish\nYou may grow up to be a fish\nAnd all the monkeys aren't in the zoo\nEveryday you'll meet quite a few\nSo you see it's all up to you\nYou can be better than you are\nYou could be swingin' on a star",7xy0PAZxzGDOcYzyptvprd,0.706,0.16699999999999998,0,-13.137,1,0.0602,0.8959999999999999,0.0,0.10099999999999999,0.7240000000000001,139.763
ML5,Ludacris,Get Back,neg,angry,"Heads up! (woop, woop) Heads up! (woop, woop)\nHere's another one! (another one)\nAnd an-and another one\nO-o-oh!\n\nYeek yeek! (woop, woop) why you all in my ear?\nTalking a whole bunch of shit that I ain't trying to hear!\nGet back motherfucker, you don't know me like that!\n(Get back motherfucker You don't know me like that)\nYeek yeek! (woop, woop) I ain't playing around!\nMake one false move I'll take ya down\nGet back motherfucker, you don't know me like that!\n(Get back motherfucker You don't know me like that)\n\nWho-o-o!! S-s-so c'mon, c'mon!\nDon't get swung on, swung on!\nIt's the knick knack paddywhack, still ride in Cadillacs\nFamily off the street! made my homies put the baggies back\nStill stacking plaques! (yep!) still action packed! (yep!)\nAnd dough!! I keep it flipping like acrobats!\nThat's why I pack a mac, that'll crack 'em back\n'Cause on my waist there's more Heat than the Shaq Attack\nBut I ain't speaking about ballin, ballin\nJust thinking about brawlin till y'all start bawlin\nWe all in together now, birds of a feather now\nJust bought a plane so we changing the weather now\nSo put your brakes on, caps put your capes on\nOr knock off your block, get dropped and have your face flown\nCause I'll prove it! scratch off the music!\nLike hey little stupid! don't make me lose it!!\n\nYeek yeek! (woop, woop) why you all in my ear?\nTalking a whole bunch of shit that I ain't trying to hear!\nGet back motherfucker, you don't know me like that!\n(Get back motherfucker You don't know me like that)\nYeek yeek! (woop, woop) I ain't playing around!\nMake one false move I'll take ya down\nGet back motherfucker, you don't know me like that!\n(Get back motherfucker You don't know me like that)\n\nI came (I came) I saw (I saw)\nI hit 'em right dead in the jaw (in the jaw)\nI came (I came) I saw (I saw)\nI hit 'em right dead in the jaw (in the jaw)\nI came (I came) I saw (I saw)\nI hit 'em right dead in the jaw (in the jaw)\nI came (I came) I saw (I saw)\nI hit 'em right dead in the jaw (in the jaw)\n\nSee I caught 'em wit a right hook, caught 'em wit a jab\nCaught 'em wit an uppercut, kicked 'em in his ass\nSent him on his way cause I ain't for that talk!\nNo trips to the county, I ain't for that walk!\nWe split like two pins at the end of a lane\nWe'll knock out your spotlight and put an end to your vain\nPut a DTP pendant at the end of yo chain\nThen put the booty of a Swisha at the end of a flame\n\nYeek yeek! (woop, woop) why you all in my ear?\nTalking a whole bunch of shit that I ain't trying to hear!\nGet back motherfucker, you don't know me like that!\n(Get back motherfucker You don't know me like that)\nYeek yeek! (woop, woop) I ain't playing around!\nMake one false move I'll take ya down\nGet back motherfucker, you don't know me like that!\n(Get back motherfucker You don't know me like that)\n\nHey! You want what wit me?!\nI'm a tell you one time, don't FUCK wit me!\nGet down! Cause I ain't got nothing to lose\nI'm having a bad day, don't make me take it out on you!\nYou want what wit me?!\nI'm a tell you one time, don't fuck wit me!\nGet down! Cause I ain't got nothing to lose\nAnd I'm having a bad day, don't make me take it out on you!\n\nMan! Cause I don't wanna do that\nI want to have a good time and enjoy my Jack\nSit back and watch the women get drunk as hell\nSo I can wake up in the morning wit a story to tell\nI know it's been a lil while since I been out the house!\nBut now I'm here, you wanna stand around running your mouth?!\nI can't hear nothing you saying or spitting, so wassup!\nCan't you see we in the club?! Man shut the fuck up!!\n\nYeek yeek! (woop, woop) why you all in my ear?\nTalking a whole bunch of shit that I ain't trying to hear!\nGet back motherfucker, you don't know me like that!\n(Get back motherfucker You don't know me like that)\nYeek yeek! (woop, woop) I ain't playing around!\nMake one false move I'll take ya down\nGet back motherfucker, you don't know me like that!\n(Get back motherfucker You don't know me like that)\n\nAh! We in the Red Light District!\nAh! We in the Red Light District!\nWh-o-oh! We in the Red Light District!\nAh! We in the Red Light District!\nWh-o-oh! We in the Red Light District!\nWh-o-oh! The Red Light District!\nWh-o-oh! The Red Light District!\nAh, we in The Red Light District",6o3MvjWfF0jczTzPRcfZsK,0.562,0.638,1,-5.141,1,0.275,0.0559,0.0,0.127,0.165,171.75799999999998
ML6,Hole,Violet,neg,angry,"And the sky was made of amethyst\nAnd all the stars were just like little fish\nYou should learn when to go\nYou should learn how to say ""no""\n\nMight last a day, yeah\nMine is forever\nMight last a day, yeah\nMine is forever\n\nWhen they get what they want\nAnd they never want it again\nWhen they get what they want\nAnd they never want it again\n\nGo on, take everything\nTake everything, I want you to\nGo on, take everything\nTake everything, I want you to\n\nAnd the sky was all violet\nI want it again, but violent, more violent\nYeah, I'm the one with no soul\nOne above and one below\n\nMight last a day, yeah\nMine is forever\nMight last a day, yeah\nMine is forever\n\nWhen they get what they want\nAnd they never want it again\nWhen they get what they want\nAnd they never want it again\n\nGo on, take everything\nTake everything, I want you to\nGo on, take everything\nTake everything, I dare you to\n\nWell, I told you from the start\nJust how this would end\nWhen I get what I want\nAnd I never want it again\n\nGo on, take everything\nTake everything, I want you to\nGo on, take everything\nTake everything, I want you to\n\nIt's my lie\nYou're mine, you're mine\n\nGo on, take everything\nTake everything, I want you to\nGo on, take everything\nTake everything, I want you to\nGo on, take everything\nTake everything, I want you to\nGo on, take everything\nTake everything\nTake everything\nTake everything",1H63ixBDLtgp6e089dgyuz,0.461,0.6409999999999999,7,-10.912,1,0.0416,0.0664,2.1600000000000003e-05,0.162,0.37200000000000005,111.429
ML7,Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,neg,angry,"Next Thursday you're invited to watch Rising Tide's live coverage of a gala tribute in salute to Ronald Reagan. Host Haley Barbour joins special guest Lady Margaret Thatcher in celebrating the former president's 83rd birthday. Tickets are 1000 Dollars a plate but you can see the event free on GOP TV.\n\nImages of perfection, suntan and napalm\nGrenada, Haiti, Poland, Nicaragua\nWho shall we choose for our morality\nI'm thinking right now of Hollywood tragedy\nBig Mac, smack, Phoenix, R., please smile y'all\nCuba, Mexico can't cauterise our discipline\nYour idols speak so much of the abyss\nYet your morals only run as deep as the surface\n\nCool, groovy, morning, fine\nTipper Gore was a friend of mine\nI love a free country\nThe stars and stripes and an apple for mommy\n\n(Conservatives say) ""There ain't no black in the Union Jack""\n(Democrats say) ""There ain't enough white in the Stars and Stripes""\n\nCompton, Harlem, a pimp fucked a priest\nThe white man has just found a new moral saviour\nVital stats, how white was their skin\nUnimportant, just another inner-city drive-by thing\nMorning, fine, serve your first coffee of the day\nReal privilege, it will take your problems away\nNumber one, the best, no excuse from me\nI am here to serve the Moral Majority\n\nCool, groovy, morning, fine\nTipper Gore was a friend of mine\nI love a free country\nThe stars and stripes and an apple for mommy\n\nZapruder the first to masturbate\nThe world's first taste of crucified grace\n(And we say) there's not enough black in the Union Jack\n(And we say) there's so much white in the Stars and Stripes\n\nFuck the Brady bill!\nFuck the Brady bill!\nIf God made man they say\nSam Colt made him equal",5Dcpl2k7kJzgZecHHeZiAu,0.348,0.8079999999999999,4,-4.562,0,0.0847,0.00032599999999999996,0.0,0.201,0.469,147.998
ML8,Emerson Hart,If You're Gonna Leave,pos,sad,"Maybe I'm the joker\nMaybe I'm the fool in your eyes\nMaybe I'm the weak one\nMaybe I'm a lie in disguise\nMaybe I'm angry\n'Cause I'm the one who's always wrong\nBut maybe I'm not the one who's so strong\nDid you think about it?\nDid you pull it in and pour it out?\nCould you live without me?\nDid you ever really have a doubt?\nBut do you understand it, baby?\nWhen you say, “It's over”, it's done\nMaybe I'm not the one\nSo if you're gonna leave\nYeah, you better get goin'\n‘Cause I ain't wastin' no more time\nOn what you did and what you didn't do\nIf you’re gonna leave\nYeah, you better start runnin'\n‘Cause I ain't wastin' no more time\nOn what might've been\nWe can stand on reason\nWe can fight about all the things\nThis isn't forever\nThis is more than a wedding ring\nBut do you understand it, baby?\nWhen you say, “It's over”, it's done\nMaybe I'm not the one\nSo if you're gonna leave\nYeah, you better get goin'\n‘Cause I ain't wastin' no more time\nOn what I did and what I didn't do\nIf you're gonna leave\nYeah, you better start runnin'\n‘Cause I ain't wastin' no more time\nO-oh, did it happen again?\nWith the things that you wanted\nFor being a friend\nHow did it happen again?\nJust look onward, baby\n‘Cause someday you might need a friend\n(Friend)\nSo if you're gonna leave\nYeah, you better get goin'\n‘Cause I ain't wastin' no more time\nOn what we did and what we didn't do\nIf you’re gonna leave\nYeah, you better start runnin'\n‘Cause I ain't wastin' no more time\nNo, I ain't wastin' no more time\nOn what might've been",7spcc0WMgkXCjdc8t1ugB2,0.44799999999999995,0.519,1,-5.607,1,0.0301,0.0251,0.0,0.099,0.355,154.22
ML9,Megadeth,Architecture of Aggression,neg,angry,"Born from the dark in the black cloak of night\nTo envelop its prey below, deliver to the light\nTo eliminate your enemy, hit them in their sleep\nAnd when all is won and lost, the spoils of wars are yours to keep\n\nGreat nations built from the bones of the dead\nWith mud and straw - blood and sweat\nYou know your worth when your enemies\nPraise your architecture of aggression\n\nPraise your architecture of aggression\n\nEnsuing power vacuum, a toppled leader dies\nHis body fuels the power fire and the flames rise to the sky\nOne side of his face, a kiss - the other, genocide\nTime to pay with your ass, a worldwide suicide\n\nGreat nations built from the bones of the dead\nWith mud and straw - blood and sweat\nYou know your worth when your enemies\nPraise your architecture of aggression\n\n\nBorn from the dark in the black cloak of night\nTo envelop its prey below, deliver to the light\nTo eliminate your enemy, hit them in their sleep\nAnd when all is won and lost, the spoils of wars are yours to keep\n\nGreat nations built from the bones of the dead\nWith mud and straw - blood and sweat\nYou know your worth when your enemies\nPraise your architecture of aggression\nGreat nations built from the bones of the dead\nWith mud and straw - blood and sweat\nYou know your worth when your enemies...\nPraise your architecture of aggression",1BbocHcTYAu0wCS4NqgRsI,0.537,0.97,11,-6.996,0,0.0585,0.00023700000000000001,0.679,0.165,0.502,95.337
ML10,Blondie,Heart of Glass,neg,happy,"Once I had a love and it was a gas\nSoon turned out had a heart of glass\nSeemed like the real thing, only to find\nMucho mistrust, love's gone behind\n\nOnce I had a love and it was divine\nSoon found out I was losing my mind\nIt seemed like the real thing but I was so blind\nMucho mistrust, love's gone behind\n\nIn between, what I find is pleasing and I'm feeling fine\nLove is so confusing, there's no peace of mind\nIf I fear I'm losing you, it's just no good\nYou teasing like you do\n\n\nOnce I had a love and it was a gas\nSoon turned out had a heart of glass\nSeemed like the real thing, only to find\nMucho mistrust, love's gone behind\n\nLost inside, adorable illusion and I cannot hide\nI'm the one you're using, please don't push me aside\nWe could've made it cruising, yeah\n\n(Da-da-da, da-dum-da-dum-da, da-dum-da-da-da\nDa-dum-da-dum-da, da-dum-da-da-da, da-dum-da-dum-da)\nYeah, riding high on love's true bluish light\nOooh-ah-ah, oooh-ah-ah, oooh-ah-ah, oooh-ah-ah\n\nOnce I had a love and it was a gas\nSoon turned out, it was a pain in the ass\nSeemed like the real thing only to find\nMucho mistrust, love's gone behind",41AE8ODX2JETBCa6muhSLY,0.726,0.696,4,-8.017000000000001,1,0.0333,0.00114,0.0771,0.0563,0.41,114.691
